1A;0.01;1429794117
1A;0.01;1429794177
2A;0.01;1429794117
2A;0.01;1429794177
3A;0.01;1429794117
3A;0.01;1429794177
4A;0.01;1429794117
4A;0.01;1429794177
5A;0.01;1429794117
5A;0.01;1429794177
6A;0.01;1429794117
6A;0.01;1429794177
7A;0.01;1429794117
7A;0.01;1429794177
1B;0.01;1429794117
1B;0.01;1429794177
2B;0.01;1429794117
2B;0.01;1429794177
3B;0.01;1429794117
3B;0.01;1429794177
4B;0.01;1429794117
4B;0.01;1429794177
5B;0.01;1429794117
5B;0.01;1429794177
6B;0.01;1429794117
6B;0.01;1429794177
7B;0.01;1429794117
7B;0.01;1429794177
1C;0.01;1429794117
1C;0.01;1429794177
2C;0.01;1429794117
2C;0.01;1429794177
3C;0.01;1429794117
3C;0.01;1429794177
4C;0.01;1429794117
4C;0.01;1429794177
5C;0.01;1429794117
5C;0.01;1429794177
6C;0.01;1429794117
6C;0.01;1429794177
7C;0.01;1429794117
7C;0.01;1429794177
1D;0.01;1429794117
1D;0.01;1429794177
2D;0.01;1429794117
2D;0.01;1429794177
3D;0.01;1429794117
3D;0.01;1429794177
4D;0.01;1429794117
4D;0.01;1429794177
5D;0.01;1429794117
5D;0.01;1429794177
6D;0.01;1429794117
6D;0.01;1429794177
7D;0.01;1429794117
7D;0.01;1429794177
1A;0.5;1429794117
1A;1;1429797648
2B;1;1429797653
4B;1;1429797660
3A;3;1429798826
1A;1;1429801524
5D;3;1429802062
3A;3;1429802529
5C;3;1429802608
6A;2;1429802795
2B;5;1429802814
4D;1;1429805681
7D;1;1429805686
3A;1;1429805693
2C;2;1429807171
7A;2;1429807742
3A;3;1429807955
2A;1;1429808016
4B;2;1429808022
5C;2;1429810209
7A;1;1429810856
3D;6;1429811121
5C;2;1429811126
2B;5;1429811132
1D;2;1429811210
6A;1;1429811216
7D;1;1429811284
2A;2;1429811328
4B;1;1429811397
5A;3;1429811451
6A;1;1429811482
5A;3;1429811563
6A;1;1429811617
2C;3;1429811622
1C;3;1429811638
7D;3;1429811737
5C;2;1429811745
7B;1;1429811934
5D;1;1429812038
2B;3;1429812044
3C;2;1429812099
2B;1;1429812169
3C;1;1429812174
5D;1;1429812217
4C;1;1429812393
2B;1;1429812426
5C;4;1429812573
3C;1;1429812578
3A;2;1429812823
3A;2;1429812862
2D;1;1429813085
4A;2;1429813445
1A;4;1429813586
2B;1;1429813589
4B;3;1429813610
2D;6;1429813715
1C;2;1429814015
7B;1;1429814042
4D;5;1429814048
7A;1;1429814226
2C;1;1429814391
6A;3;1429814816
1D;1;1429814861
5C;2;1429814880
5C;1;1429814974
5A;2;1429814979
7D;3;1429814993
3C;1;1429815027
3C;2;1429815161
5D;1;1429815213
2D;2;1429815218
5A;6;1429815224
3D;1;1429815236
1C;9;1429815288
1B;1;1429815317
2A;3;1429815326
2A;3;1429815377
2C;2;1429815381
2D;5;1429815746
4B;1;1429816220
3D;3;1429816245
2B;3;1429816307
3A;6;1429816510
4B;3;1429816570
3C;1;1429816629
5D;2;1429816684
3D;1;1429816754
7C;1;1429816837
2D;1;1429817080
4A;1;1429817115
6A;1;1429817151
1D;2;1429817576
1C;6;1429817853
4A;2;1429817886
5C;1;1429817951
2D;3;1429818067
2B;2;1429818196
3D;1;1429818217
1A;3;1429818761
2D;3;1429818803
5C;3;1429818970
1A;3;1429819608
7C;1;1429819654
2C;3;1429819734
5A;3;1429819769
1B;1;1429819872
1A;1;1429819874
2D;60;1429820105
1C;6;1429820121
5A;4;1429820214
7A;2;1429820223
5A;2;1429820231
7B;2;1429820234
1A;12;1429820331
5B;1;1429820362
2C;2;1429820367
5B;3;1429820432
1A;10;1429820504
6A;2;1429820512
5C;5;1429820566
1C;1;1429820610
1D;1;1429820657
2A;4;1429820771
1A;10;1429820803
3C;2;1429820845
3C;1;1429820880
1A;1;1429820991
4B;1;1429820995
1A;3;1429821122
1A;2;1429821210
1A;2;1429821271
4D;1;1429821459
1A;5;1429821463
1A;3;1429821467
4A;2;1429821523
5B;2;1429821655
1D;3;1429821770
1A;2;1429821774
5B;1;1429821811
5A;2;1429821819
1D;1;1429821975
1A;4;1429822062
5B;1;1429822093
5D;1;1429822123
1A;30;1429822151
5C;13;1429822302
2B;5;1429822455
2D;15;1429822780
3D;3;1429822848
2B;3;1429822866
1C;3;1429822869
1B;1;1429822872
5B;2;1429822944
4B;2;1429822951
4A;1;1429822954
4B;3;1429823066
7B;1;1429823084
4D;2;1429823087
1A;3;1429823167
5C;5;1429823415
5C;15;1429823427
5C;2;1429823446
1A;20;1429823516
2C;2;1429823535
5C;1;1429823602
1A;3;1429823732
4D;1;1429823738
2D;10;1429823746
1A;1;1429823806
7B;2;1429824211
5B;2;1429824352
1A;2;1429824419
5C;5;1429824457
1B;2;1429824638
7D;3;1429824830
1D;1;1429824843
7D;3;1429824886
2C;1;1429824891
2C;1;1429824936
3C;1;1429825027
2D;10;1429825296
1A;6;1429825557
5C;4;1429825862
2D;10;1429825896
1A;2;1429825998
6B;5;1429826086
2D;6;1429826186
2D;6;1429826241
7D;1;1429826246
2C;2;1429826412
2C;3;1429826677
4D;3;1429826696
7D;10;1429826852
4D;5;1429826890
7B;2;1429827122
1B;1;1429827169
7D;5;1429827442
5C;2;1429827473
1A;2;1429827582
2D;6;1429827638
5D;1;1429827718
4B;3;1429827729
1A;5;1429829138
1A;8;1429829754
7D;3;1429830107
1A;6;1429830188
5D;8;1429830918
4D;1;1429832120
7C;3;1429832804
7B;5;1429832942
3C;3;1429834771
5B;2;1429834806
5C;1;1429834810
5B;1;1429834843
1B;1;1429834883
2D;2;1429835681
1C;3;1429835772
1B;1;1429835944
5D;1;1429836351
5B;6.5;1429838040
2C;2;1429838869
3D;3;1429839599
7A;3;1429840596
2B;2;1429840605
1A;1;1429840610
2B;10;1429843153
7A;5;1429843197
5C;4;1429854207
5C;7;1429854667
5D;5;1429863371
1A;2;1429870023
5D;1;1429870027
5C;1;1429872926
5C;3;1429877886
3C;1;1429877906
5C;1;1429878873
1C;2;1429882778
1A;1;1429882781
4B;3;1429882787
1C;3;1429883997
1C;1;1429885040
1C;1;1429885961
7A;9;1429888634
1A;3;1429888639
6A;3;1429889365
6A;3;1429892487
2C;3;1429892492
2B;2;1429892519
2B;7;1429896439
2B;10;1429896447
2B;26;1429896465
2B;5;1429896483
2B;4;1429897261
2B;2;1429897270
2B;2;1429897284
5D;5;1429897304
2B;5;1429897312
2D;3;1429897498
2B;1;1429897504
5D;3;1429898469
2D;2;1429899005
2D;3;1429899080
5C;2;1429899193
5C;7;1429899666
3C;3;1429900264
5D;10;1429900333
7A;5;1429901851
3C;3;1429902156
2B;3;1429902530
2D;3;1429902649
5A;1;1429902708
7D;1;1429902902
7D;5;1429903041
5C;2;1429903045
5C;2;1429903095
6A;3;1429903118
4B;1;1429903881
6A;3;1429905125
2B;2;1429905127
3C;3;1429905183
3D;14;1429905238
2D;3;1429905286
6D;2;1429905410
7D;3;1429905506
1A;10;1429905574
2D;1;1429905629
3D;3;1429905635
1A;1;1429905642
7D;2;1429905726
6B;6;1429905763
7D;1;1429905773
7D;10;1429906000
1A;10;1429906207
5C;1;1429906791
2D;1;1429906835
3D;3;1429906983
3D;3;1429906988
5D;3;1429906992
7D;7;1429907398
1C;3;1429907778
2D;3;1429908068
6A;3;1429908613
2B;2;1429908743
6A;1;1429908970
2D;11;1429909333
5C;5;1429909637
6A;2;1429909807
1A;14;1429910035
5D;4;1429910169
6A;10;1429910302
7D;2;1429910399
1A;10;1429910675
2D;7;1429910890
2D;5;1429911165
2D;5;1429911389
6A;5;1429911432
1A;5;1429911445
7D;10;1429911493
7D;10;1429911503
1C;3;1429911569
2D;1;1429911616
6A;3;1429911768
5C;7;1429912006
2D;52;1429912429
2B;3;1429912448
5B;5;1429912527
1A;19;1429912992
5D;4;1429913387
1A;36;1429913636
7A;5;1429913862
2D;5;1429914189
5B;3;1429915259
1A;7;1429915420
7C;1;1429915819
5B;2;1429916443
1A;6;1429916789
2D;40;1429916800
2B;2;1429916812
4B;8;1429917655
3D;1;1429917659
1C;5;1429917803
1A;35;1429918155
1A;10;1429918161
6D;8;1429918808
6C;5;1429918972
6C;3;1429919112
7B;7;1429919261
2D;1;1429919509
4A;10;1429919794
2B;15;1429919926
5D;5;1429921411
2D;5;1429922040
2D;5;1429922193
5C;5;1429922375
2D;35;1429922707
5D;2;1429923254
6C;8;1429924014
5C;2;1429924983
2D;2;1429925428
7C;1;1429927044
2D;1;1429927404
5D;1;1429927704
5C;5;1429928128
2D;5;1429928873
5C;2;1429929416
2D;1;1429931678
1A;1;1429931786
2D;2;1429933164
2D;5;1429935310
2D;2;1429935431
1A;5;1429936458
1A;7;1429936466
5D;2;1429959511
3B;4;1429966733
3B;5;1429966746
1A;5;1429966768
5B;2;1429976471
2B;3;1429976488
7D;1;1429977367
5B;2;1429977559
5C;4;1429979207
2D;6;1429979759
1A;5;1429982272
2B;0.5;1429982284
1A;3;1429982325
7A;10;1429982338
2D;6;1429983780
5D;6;1429984981
1A;3;1429985295
1A;5;1429985965
5D;4;1429986246
1A;1;1429986434
2D;3;1429987992
2D;6;1429988070
2B;1;1429988139
1A;18;1429988453
1A;7;1429988725
1A;2;1429990245
1A;3;1429990504
2D;6;1429991982
2D;1;1429991991
1A;1;1429992208
2D;5;1429992216
1D;3;1429992362
1A;1;1429992695
2D;15;1429993299
1A;5;1429993530
7D;2;1429993561
7D;2;1429993577
2D;2;1429993766
2D;3;1429994117
1A;1;1429994271
2D;1;1429994422
1D;1;1429994514
2D;5;1429995424
4B;4;1429995495
2B;1;1429995597
2D;5;1429995616
1D;6;1429995789
1A;20;1429996156
1A;2;1429996201
1C;3;1429996298
2D;1;1429996451
7D;2;1429996475
2D;1;1429996483
1A;4;1429996520
2D;3;1429996584
5D;3;1429996957
2D;4;1429997164
2D;1;1429997173
1A;10;1429997333
1A;21;1429997373
1A;8;1429997440
2D;2;1429997796
2D;2;1429998124
7A;6;1429998144
5C;5;1429998278
1A;2;1429998436
2D;5;1429998540
2D;19;1429998687
1A;25;1429998699
1A;37;1429998903
7A;10;1429998967
1D;10;1429999013
1C;2;1429999231
1C;1;1429999293
1A;1;1429999322
2D;40;1429999335
1A;3;1429999440
5D;20;1430000020
2D;1;1430000055
3C;2;1430000606
7A;11;1430001020
2D;10;1430001303
1A;5;1430001381
5D;4;1430001387
3A;3;1430001469
2D;5;1430001724
1D;10;1430001731
3A;4;1430002218
2D;17;1430002228
1A;10;1430002233
2D;3;1430002330
3C;7;1430002767
1A;7;1430002844
1A;1;1430002923
5C;10;1430002940
1A;22;1430002950
5D;2;1430004058
3A;3;1430004384
1A;3;1430004391
1C;4;1430004437
2D;3;1430004442
2D;6;1430004520
2B;2;1430004686
2C;10;1430004690
1A;6;1430004803
1A;12;1430004969
1C;16;1430005688
1A;7;1430005693
2D;7;1430005728
1A;10;1430006210
2D;1;1430006843
1A;6;1430007673
5C;1;1430007765
2D;4;1430007933
1C;3;1430008289
2D;2;1430008331
1A;23;1430008782
1A;10;1430008959
1C;1;1430009673
1A;1;1430010171
2D;2;1430011051
1A;5;1430011221
2D;100;1430011600
2D;6;1430011832
1A;61;1430011910
2D;10;1430012199
1A;3;1430012211
1A;2;1430012250
1C;3;1430013341
1A;10;1430013349
2B;2;1430014134
2B;25;1430014146
1A;2;1430014155
6A;5;1430014411
1C;5;1430014508
1A;1;1430014826
2B;5;1430014908
1A;2;1430015430
1A;2;1430018125
2D;2;1430018694
2D;1;1430018705
1A;2;1430021409
1A;5;1430022956
